"Date","DateStart","DateEnd","Type","Summary","Content","Images","Cover"
"November 22, 2022","2022-11-22T00:00:00Z","2022-11-22T00:00:00Z","External","Invited Talk at Hanyang University","Prof. Jongseong Brad Choi was invited to deliver a seminar at Hanyang University, in their ME Graduate Student Seminar Series. His talk was entitled “Metaverse Platform Development for Human-Machine Collaborative Remote Assessment of Infrastructures.","/assets/news/20221122_1.webp|/assets/news/20221122_2.webp","/assets/news/20221122_1.webp"
"November 11, 2022","2022-11-11T00:00:00Z","2022-11-11T00:00:00Z","External","Invited Talk at 2022 KSME Annual Meeting","Prof. Jongseong Brad Choi was invited to deliver a presentation in the session of “Promising Young Scientists (유망과학기술자 세션)” at the Korean Society of Mechanical Engineers (KSME) Annual Meeting 2022, Jeju, South Korea. His talk was entitled “Visual Analytics toward Lifecycle Assessment of Large-Scale Structures (구조물 수명주기관리를 위한 대용량 시각데이터 수집 및 분석 자동화)”.","/assets/news/20221111_1.webp|/assets/news/20221111_2.webp|/assets/news/20221111_3.webp","/assets/news/20221111_1.webp"
"November 11, 2022","2022-11-11T00:00:00Z","2022-11-11T00:00:00Z","Internal","Outdoor Activity after 2022 KSME Confernce","MEICers went out for outdoor activity together after KSME 2022 conference in Jeju. After hiking Oreum, we went outdoor bar to enjoy a nice senary and food!","/assets/news/20221111_4.webp|/assets/news/20221111_5.webp|/assets/news/20221111_6.webp","/assets/news/20221111_4.webp"
"November 9-12, 2022","2022-11-09T00:00:00Z","2022-11-12T00:00:00Z","External","2022 KSME","During the Korean Society of Mechanical Engineers (KSME) Annual Meeting 2022, Jeju, South Korea, Jonathan Boyack delivered a presentation entitled “A Real-Time Log Data Analytics-based Electric Vehicle Path Optimization (실시간 로그데이터 분석 기반의 전기차 경로 최적화 기법)” with co-authors Jongseong Brad Choi. Ricardo Ortiz delivered a presentation entitled “Development of User-Designated-Path Driving Ground Rover for Construction Site Monitoring (건설현장 모니터링을 위한 사용지 지정경로 주행 지상로버 개발)” with co-authors Jee Won Lee, Jonathan Boyack, and Jongseong Brad Choi. Jee Won Lee delivered a presentation entitled Automated Pan-Tilt-Zoom Camera Control to Enable Long-Range Visual Assessment and Localization (원거리 시각검사를 위한 PTZ 카메라 자동제어 알고리즘 개발) with co-authors Chul Min Yeum, Ricardo Ortiz, and Jongseong Brad Choi. Pureun Jeong was in poster session entitled “Indoor Navigation System Designed for a Safety of Construction Site” with co-authored Jimin Shin, Seung Hyun Cha, and Jongseong Brad Choi.","/assets/news/20221109_1.webp","/assets/news/20221109_1.webp"
"October 13, 2022","2022-10-13T00:00:00Z","2022-10-13T00:00:00Z","Internal","Alfredo Welcome Party","MEICers had a welcome dinner party for our new member Alfredo Valenzuela, master’s course, from all the way from Equador. We all enjoyed Jeju sagyeosal and karaoke in Songdo. Welcome to MEIC lab, Alfredo!","/assets/news/20221013_1.webp|/assets/news/20221013_2.webp","/assets/news/20221013_1.webp"
"October 11, 2022","2022-10-11T00:00:00Z","2022-10-11T00:00:00Z","External","Host a Seminar and invite professor Chul Min Yeum","Prof. Jongseong Brad Choi hosted a seminar regarding entitled Human-Machine Collaborative Infrastructure Assessment through Mixed and Virtual Reality along with professor Chul Min Yeum from University of Waterloo. Prof. Choi and Yeum have been collaborating years and plan for another project for our graduate students visiting program.","/assets/news/20221011_1.webp|/assets/news/20221011_2.webp","/assets/news/20221011_1.webp"
"September 23, 2022","2022-09-23T00:00:00Z","2022-09-23T00:00:00Z","External","Invited Talk at Inha University","Prof. Jongseong Brad Choi was invited to deliver a seminar at Inha University, in their Dept. Architecture Engineering Seminar Series. His talk was entitled “Computer Vision engaged Infrastructure Remote Sensing","/assets/news/20220923_1.webp","/assets/news/20220923_1.webp"
"September 23, 2022","2022-09-23T00:00:00Z","2022-09-23T00:00:00Z","External","Invited Talk at  National Museum of Modern and Contemporary Art, Korea","Prof. Jongseong Brad Choi was invited to deliver a seminar at National Museum of Modern and Contemporary Art, Korea (국립현대미술관 청주) in their Preservation Science Lecture Series. His talk was entitled “Computer Vision engaged Lifecycle Assessment of Cultural Heritages” (컴퓨터비전 및 인공지능을 활용한 건축문화유산 생애주기 관리 자동화).","/assets/news/20220923_2.webp","/assets/news/20220923_2.webp"
"July 1, 2022","2022-07-01T00:00:00Z","2022-07-01T00:00:00Z","External","2022 PHM Korea Conference","Jonathan Boyack, a Ph.D. student, delivered a presentation session entitled “Enhancing Electric Vehicle Path Optimization Exploiting Real-Time Log Data Analysis” at PHM Korea 2022: PHM for Industrial Digital Platform held in Seoul, South Korea, June 29 – July 1.","/assets/news/20220701_1.webp|/assets/news/20220701_2.webp","/assets/news/20220701_1.webp"
"June 30, 2022","2022-06-30T00:00:00Z","2022-06-30T00:00:00Z","External","2022 PHM Korea Conference","Jee Won Lee, a master student, presented in the poster session entitled “Automated Pan-Tilt-Zoom Camera Control to Enable Long-Range Visual Assessment and Localization” at PHM Korea 2022: PHM for Industrial Digital Platform held in Seoul, South Korea, June 29 – July 1.","/assets/news/20220630_1.webp","/assets/news/20220630_1.webp"
"June 24, 2022","2022-06-24T00:00:00Z","2022-06-24T00:00:00Z","External","Host a collaborating seminar at Purdue University","Prof. Jongseong Brad Choi and Chi Hwan Lee (Purdue Univ.) hosted a collaborating seminar (Biomedical Engineering at Purdue Univ. and Mechanical Engineering at SUNY Korea) along with prestigious scholars from Purdue Univ. The topics spanned from research collaboration bio-mechanical engineering to student exchange programs. We look forward to collaborating with the Biomedical Engineering department of Purdue University with broader topics in the future.","/assets/news/20220624_1.webp","/assets/news/20220624_1.webp"
"May 26, 2022","2022-05-26T00:00:00Z","2022-05-26T00:00:00Z","Internal","Lab Gathering","MEIC Lab members had a gathering and semester-end party at Songdo. This gathering was after a field trip to H&I co., Uiwang-si,  to learn RTK GPS system to be adopte to our auto-navigating rover system.","/assets/news/20220526_1.webp","/assets/news/20220526_1.webp"
"May 25, 2022","2022-05-25T00:00:00Z","2022-05-25T00:00:00Z","External","2022 IGC Project Symposium","Pureun Jeong, Seunghyun Cha, and Jimin Shin presented in the poster session entitled “Smart IGC Campus and Community with A Self-Navigating Robot System” at 2022 IGC Project Symposium held in Songdo, South Korea, June 29 – July 1.","/assets/news/20220525_1.webp|/assets/news/20220525_2.webp","/assets/news/20220525_1.webp"
"February 23, 2022","2022-02-23T00:00:00Z","2022-02-23T00:00:00Z","External","Invited Lecture at 2022 Artificial Intelligence Winter School, AI Research Group, KSME at KAIST","Prof. Jongseong Brad Choi delivered a lecture at 2022 Artificial Intelligence Winter School, AI Research Group, KSME (2022 인공지능 겨울학교, 대한기계학회 인공지능머신 연구회) held at KAIST, Daejeon, South Korea, Feb 21 – 23, 2022, entitled “Citizen Data to Machine Learning: Application of Lifecycle Management of Infrastructure (시민사진을 인공지능 데이터로: 사회인프라 생애주기관리 어플리케이션)","/assets/news/20220223_1.webp","/assets/news/20220223_1.webp"
"January 1, 2022","2022-01-01T00:00:00Z","2022-01-01T00:00:00Z","External","A committee member of financial board in KSME 2022","Prof. Jongseong Brad Choi is appointed as a committee member of the financial board in KSME Reliability Division (대한기계학회 신뢰성부문) starting from Jan 1, 2022.","/assets/news/20220101_1.webp","/assets/news/20220101_1.webp"
"December 17, 2021","2021-12-17T00:00:00Z","2021-12-17T00:00:00Z","Internal","Sooyon Farewell Party","MEIC Lab members had a gathering and semester-end party at MEIC lab. This gathering was to celebrate Sooyon’s graduation and her admission to Cornell University for her master’s degree. Hyunseung also leaves for his military service. Hope to see you all soon!","/assets/news/20211217_1.webp","/assets/news/20211217_1.webp"
"September 28, 2021","2021-09-28T00:00:00Z","2021-09-28T00:00:00Z","External","2021 PHMAP","Jonathan Boyack, PhD student, delivered a presentation at Asia Pacific Conference of Prognostics and Health Management Society 2021 (PHMAP2021) in Jeju, South Korea on Sep 8, 2021. His talk was entitled ""Machine Learning Approach for a Rapid Falling Hazard Assessment on High-Rise Buildings"".","/assets/news/20210928_1.webp|/assets/news/20210928_2.webp|/assets/news/20210928_3.webp|/assets/news/20210928_4.webp","/assets/news/20210928_1.webp"
"September 28, 2021","2021-09-28T00:00:00Z","2021-09-28T00:00:00Z","External","2021 PHMAP & 2021 PHM Korea","Members of the MEIC Lab actively participated in the Asia Pacific Conference of Prognostics and Health Management Society 2021 (PHMAP 2021) and PHM Korea 2021, held concurrently in Jeju, South Korea, from September 7 to 10, 2021. Prof. Jongseong Brad Choi took on prominent leadership roles in both conferences. At PHMAP 2021, he served as the chair for the ""Machine Learning Methods for PHM"" session and delivered a presentation entitled ""Similarity Learning to Building Search Capability: Post-event Image Data Application."" Furthermore, at PHM Korea 2021, he was featured as an invited speaker presenting on ""Automating Visual Data Analytics to Aid Lifecycle Management of Infrastructure toward Sustainable Cities,"" while also chairing the ""Application of PHM"" session. In addition, PhD student Jonathan Boyack delivered a successful presentation at PHMAP 2021 on September 8th, sharing his research titled ""Machine Learning Approach for a Rapid Falling Hazard Assessment on High-Rise Buildings."" These events provided a great opportunity to showcase how our lab's machine learning and visual data analytics approaches are advancing infrastructure lifecycle management and contributing to the development of sustainable cities.","/assets/news/20210928_5.webp|/assets/news/20210928_6.webp|/assets/news/20210928_7.webp","/assets/news/20210928_5.webp"
"May 17, 2021","2021-05-17T00:00:00Z","2021-05-17T00:00:00Z","External","2021 PHM & 2021 KSPHM","Prof. Jongseong Brad Choi has been appointed to key committee roles in prominent Prognostics and Health Management (PHM) societies, reflecting his continued dedication to the field's education and academic development. Effective May 17, 2021, Prof. Choi was appointed as a committee member of the education board for the Korean Society of Prognostics and Health Management (KSPHM). Furthermore, he served as a Short Course Committee member for the International Conference on Prognostics and Health Management Asia-Pacific 2021 (PHMAP 2021), which was held in Jeju, South Korea, from September 8 to 10, 2021. These appointments highlight his expertise and active leadership in advancing educational initiatives within the global and domestic PHM communities.","/assets/news/20210517_1.webp|/assets/news/20210517_2.webp","/assets/news/20210517_1.webp"
"January 21, 2021","2021-01-21T00:00:00Z","2021-01-21T00:00:00Z","External","Visting to KICT","MEIC Lab members visited Dr. Taewook Kang, chief scientist, at Korea Institute of Civil Engineering and Building Technology (KICT) (한국건설기술연구원), to learn electric vehicle system for large-scale 3D point cloud modeling.","/assets/news/20210121_1.webp","/assets/news/20210121_1.webp"
"July 2019","2019-07-01T00:00:00Z","2019-07-01T00:00:00Z","External","Invited to NHERI RAPID Experimental Facility at the University of Washington","Prof. Choi was invited to NHERI RAPID Experimental Facility at the University of Washington, Seattle on July 2019. NHERI selects 20 attendees who has professional research background for the RAPID 4 days Equipment Training Workshop as well as support up to $1,500 Travel Fund.","/assets/news/20190701_1.webp","/assets/news/20190701_1.webp"
